,no,vol,article no,pages in range,publisher name,publisher location,publisher year
95,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
96,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
97,,,,19-20,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
98,,,,,Polskie Wydawnictwo Ekonomiczne,Warszawa,2019
99,,,,76-92,Akademia Wychowania Fizycznego im. Bronis³awa Czecha w Krakowie,Kraków,2019
100,,,,732-750,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
101,,,,115-126,Springer International Publishing,Cham,2019
102,,,,41-57,Presscom,Wroc³aw,2019
103,,,,,Springer International Publishing,Cham,2019
104,11 ,11,,,Akademia Wychowania Fizycznego im. Bronis³awa Czecha w Krakowie,Kraków,2019
105,1 ,4,,35-40,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
106,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
107,,,,9-24,Faculty of Management University of Warsaw,Warsaw,2019
108,,,,129-139,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
109,,,,,Wydawnictwo Uniwersytetu £ódzkiego,,2019
110,,,,107-118,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
111,,,,191-204,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
112,,,,68-79,University North,Koprivnica,2019
113,,63,,217-229,Faculty of Management University of Warsaw,Warsaw,2019
114,1 ,24,,155-177,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
115,,,,84-93,Stowarzyszenie Ksiêgowych w Polsce - Zarz¹d G³ówny. Instytut Certyfikacji Zawodowej Ksiêgowych,Warszawa,2019
116,,24,,334-354,Stowarzyszenie Ksiêgowych w Polsce - Zarz¹d G³ówny. Instytut Certyfikacji Zawodowej Ksiêgowych,Warszawa,2019
117,,,,,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar,Warszawa,2019
118,,,,9-24,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
119,,63,,58-70,Faculty of Management University of Warsaw,Warsaw,2019
120,,,,21-27,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
121,,63,,172-183,Academic Conferences and Publishing International Limited,Reading,2019
122,,,,144-155,Publishing Office of Czestochowa University of Technology,Czêstochowa,2019
123,,,,156-174,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
124,139 ,,,607-619,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ; Wydawnictwo Naukowe Scholar,Warszawa,2019
125,,6,,111-125,Wydawnictwo Naukowe Instytutu Technologii Eksploatacji Pañstwowego Instytutu Badawczego,Radom,2019
126,,,,49-63,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
127,,,,,Megatrend University,Belgrade,2019
128,,,,65-85,University North,Koprivnica,2019
129,1 ,16,,91-97,Faculty of Management University of Warsaw,Warsaw,2019
130,1 ,16,,137-147,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
131,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
132,,,,241-277,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
133,,,,193-206,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
134,,,,61-74,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
135,,,,245-252,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
136,,,,97-108,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
137,,,,3-9,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
138,,,,153-168,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
139,1 ,16,,70-79,Megatrend University,Belgrade,2019
140,1 ,83,,50-62,University North,Koprivnica,2019
141,,,,151-159,Faculty of Management University of Warsaw,Warsaw,2019
142,,,,12-13,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
143,,,,283-301,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
144,,,,,Megatrend University,Belgrade,2019
145,,,,211-212,University North,Koprivnica,2019
146,,,,79-96,Faculty of Management University of Warsaw,Warsaw,2019
147,,,,1097-1124,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
148,,,,106-114,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
149,,,,16-21,Megatrend University,Belgrade,2019
150,,,,33-42,University North,Koprivnica,2019
151,,,,55-64,Faculty of Management University of Warsaw,Warsaw,2019
152,,,,13-32,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
153,2 ,7,,,Springer,Cham,2019
154,,,,63-74,Springer,Cham,2019
155,,1,,,Springer,Cham,2019
156,1 ,15,,123-146,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
157,,,,43-61,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
158,,,,105-107,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
159,,,,1753-1755,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
160,,,,,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
161,,,,114-122,Institute of Electrical and Electronics Engineers,New,2019
162,,,,109-122,Polskie Towarzystwo Informatyczne,Warszawa,2019
163,,,,1451-1461,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
164,,,,947-976,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
165,,,,145-157,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
166,,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
167,,,,386-394,Institute of Electrical and Electronics Engineers,New,2019
168,,,,56-68,Polskie Towarzystwo Informatyczne,Warszawa,2019
169,1 ,26,,195-211,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
170,,,,11-26,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
171,,,,2-7,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
172,,,,173-184,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
173,,,,70-74,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
174,,,,133-149,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
175,,,,72-95,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
176,,,,172-188,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
177,,,,137-171,Wydawnictwo Akademii Wychowania Fizycznego w Katowicach,Katowice,2019
178,,,,46-56,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
179,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
180,,,,109-119,Wydawnictwo Akademii Wychowania Fizycznego w Katowicach,Katowice,2019
181,,,,3-4,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
182,,,,5-11,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
183,,,,,"University of South Bohemia in Ceske Budejovice, Faculty of Economics",Ceske,2019
184,2 ,18,,123-131,Wydawnictwo SGGW,Warszawa,2019
185,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
186,,,,19-20,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
187,32 ,10,,87-104,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
188,,,,51-52,Publishing House of the University of Economics in Katowice,Katowice,2019
189,,,,20-26,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
190,5 ,20,,1858-1869,Publishing House of the University of Economics in Katowice,Katowice,2019
191,4 ,,,41-60,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
192,1 ,3,,83-86,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
193,3 ,6,,,Wydawnictwo SGGW,Warszawa,2019
194,,,,215-224,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
195,1 ,25,,50-66,Wydawnictwo SGGW,Warszawa,2019
196,,,,151-163,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
197,,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
198,,,,133-156,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
199,1,17,,155-166,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
200,,,,191-206,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
201,2 ,23,,1-14,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
202,,,,39-51,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
203,,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
204,,,,171-183,Wydawnictwo Uniwersytu l¹skiego,Katowice,2019
205,,,,83-99,Kyiv National University of Trade and Economics,Kyiv,2019
206,,,,27-38,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
207,,,,45-57,VSB - Technical University of Ostrava,Ostrava,2019
208,,,,31-45,VSB - Technical University of Ostrava,Ostrava,2019
209,,,,352-372,Kyiv National University of Trade and Economics,Kyiv,2019
210,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
211,,,,101-110,VSB - Technical University of Ostrava,Ostrava,2019
212,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
213,,,,159-170,Wydawnictwo Uniwersytu l¹skiego,Katowice,2019
214,,,,28-49,VSB - Technical University of Ostrava,Ostrava,2019
215,1 ,71,,54-71,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
216,,,,149-158,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
217,,,,11-27,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
218,,,,237-250,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
219,,,,24-29,UNWE Publishing Complex,Sofia,2019
220,,,,579-588,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
221,1 ,17,,212-238,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
222,,,,,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
223,,,,119-136,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
224,,,,100-118,CeDeWu,Warszawa,2019
225,,,,221-243,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
226,,,,192-202,UNWE Publishing Complex,Sofia,2019
227,,,,263-280,Komitet Przestrzennego Zagospodarowania Kraju PAN,Warszawa,2019
228,,,,203-220,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
229,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
230,,,,83-98,Wolters Kluwer,Warszawa,2019
231,,,,205-211,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
232,,,,209-228,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
233,,,,135-149,Dom Wydawniczy ELIPSA,Warsaw,2019
234,,,,,"University of South Bohemia in Ceske Budejovice, Faculty of Economics",Ceske,2019
235,,,,133-141,VSB - Technical University of Ostrava,Ostrava,2019
236,,,,29-44,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
237,,,,276-288,Dom Wydawniczy ELIPSA,Warsaw,2019
238,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
239,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
240,,,,247-259,Wydawnictwo Naukowe Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach,Siedlce,2019
241,,,,260-275,Ekonomiceskij fakultet MGU imieni M.V. Lomonosova,Moskva,2019
242,,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
243,4 ,55,,319-330,,Katowice,
244,,,,39-48,Wydawnictwo Naukowe Scholar,Warszawa,2019
245,,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
246,4 ,19,,993-1032,Publishing House of the University of Economics in Katowice,Katowice,2019
247,,,,183-190,,Katowice,
248,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
249,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
250,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
251,,,,236-252,Ekonomiceskij fakultet MGU imieni M.V. Lomonosova,Moskva,2019
252,,,,95-108,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
253,,,,285-303,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
254,,,,66-74,Wydawnictwo Naukowe Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach,Siedlce,2019
255,,,,152-160,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
256,,,,,Springer,Cham,2019
257,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
258,,,,193-210,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
259,,,,249-255,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
260,,,,155-164,Springer,Cham,2019
261,,,,103-111,Springer,Cham,2019
262,,,,211-235,Wolters Kluwer,Warszawa,2019
263,,,,81-92,Lviv Polytechnic National University,Lviv,2019
264,,,,191-201,Springer,Cham,2019
265,,,,,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
266,,,,53-64,Wydawnictwo Naukowe PWN,Warszawa,2019
267,,,,123-132,Springer,Cham,2019
268,,,,44-54,Edizioni Scientifiche Italiane,Napoli,2019
269,,,,276-289,Edizioni Scientifiche Italiane,Napoli,2019
270,,,,23-40,Springer,Cham,2019
271,5 ,17,,111-131,Springer,Cham,2019
272,,,,155-177,Wydawnictwo Spo³ecznej Akademii Nauk,,2019
273,5 ,17,,24-39,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
274,,,,69-79,Wydawnictwo Naukowe Tygiel,Lublin,2019
275,,,,154-174,Publishing House of the University of Economics in Katowice,Katowice,2019
276,,,,175-184,Wydawnictwo Naukowe Tygiel,Lublin,2019
277,,,,140-153,Wydawnictwo Spo³ecznej Akademii Nauk,,2019
278,,,,22-30,Wydawnictwo Naukowe Scholar,Warszawa,2019
279,,,,62-83,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
280,,,,47-62,Wydawnictwo Spo³ecznej Akademii Nauk,,2019
281,,,,,"Pañstwowa Wy¿sza Szko³a Zawodowa im. Jana Grodka w Sanoku : Polskie Towarzystwo Historyczne, oddzia³ w Sanoku",Sanok,2019
282,,,,415-420,Diamond Scientific Publication,Vilnius,2019
283,,,,31-33,"Pañstwowa Wy¿sza Szko³a Zawodowa im. Jana Grodka w Sanoku : Polskie Towarzystwo Historyczne, oddzia³ w Sanoku",Sanok,2019
284,,,,,IGI Global ; Business Science Reference,Hershey,2019
285,,,,109-147,Adam Mickiewicz University in Poznañ. Scientific Publisher of the Faculty of Political Science and Journalism,Poznañ,2019
286,,,,99-109,Adam Mickiewicz University in Poznañ. Scientific Publisher of the Faculty of Political Science and Journalism,Poznañ,2019
287,,,,31-39,Wydawnictwo Uniwersytetu l¹skiego,Katowice,2019
288,,,,187-210,Difin,Warszawa,2019
289,,159,,2616-2628,IGI Global ; Business Science Reference,Hershey,2019
290,,,,23-36,CeDeWu,Warszawa,2019
291,,,,,Wydawnictwo C.H. Beck,Warszawa,2019
292,,,,11-22,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
293,,,,,Oficyna Wydawnicza Politechniki Rzeszowskiej,Rzeszów,2019
294,,,,15-29,Uniwersytet Ekonomiczny we Wroc³awiu,Wroc³aw,2019
295,,,,167-183,Mateusz Weiland Network Solutions,S³upsk,2019
296,,,,2-8,Oficyna Wydawnicza Politechniki Rzeszowskiej,Rzeszów,2019
297,,,,209-221,Mateusz Weiland Network Solutions,S³upsk,2019
298,,,,11-21,Uniwersytet Ekonomiczny we Wroc³awiu,Wroc³aw,2019
299,,,,,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
300,,,,73-86,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
301,,,,41-53,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
302,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
303,,,,76-86,MELANDRIUM,Libuse,2019
304,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Gdañsk,2019
305,,,,55-75,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
306,,,,,CeDeWu,Warszawa,2019
307,,,,101-117,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
308,,,,81-108,,Herson,
309,,,,99-107,,Herson,
310,,,,87-98,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
311,,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
312,,,,20-37,MELANDRIUM,Libuse,2019
313,,,,37-44,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
314,,,,58-62,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
315,,,,279-289,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
316,,,,68-80,Springer International Publishing,Cham,2019
317,,,,61-77,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
318,,,,13-39,Wydawnictwo Uniwersytetu l¹skiego,Katowice,2019
319,,,,40-67,M³odzi Naukowcy,Poznañ,2019
320,,,,493-503,M³odzi Naukowcy,Poznañ,2019
321,,,,145-168,M³odzi Naukowcy,Poznañ,2019
322,,,,125-141,M³odzi Naukowcy,Poznañ,2019
323,,,,,Wydawnictwo Uniwersytetu l¹skiego,Katowice,2019
324,,,,19-31,M³odzi Naukowcy,Poznañ,2019
325,,63,,143-153,CeDeWu,Warszawa,2019
326,,,,124-130,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
327,,,,261-278,M³odzi Naukowcy,Poznañ,2019
328,,,,21-24,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
329,,,,,M³odzi Naukowcy,Poznañ,2019
330,,,,243-260,Diamond Scientific Publication,Rome,2019
331,,,,133-152,Diamond Scientific Publication,Rome,2019
332,,,,167-173,"rys., tab.",Sofia,2019
333,,,,35-43,Diamond Scientific Publication,Rome,2019
334,,,,,rys.,Sofia,2019
335,3 ,20,,424-445,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
336,,,,81-113,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
337,31 ,51,,3389-3400,Academic Conferences and Publishing International Limited,Reading,2019
338,,,,5-12,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
339,,,,,Academic Conferences and Publishing International Limited,Reading,2019
340,,,,301-313,Publishing House of the University of Economics in Katowice,Katowice,2019
341,,,,291-299,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
342,,,,13473-13488,Springer,Cham,2019
343,2 ,6,,76-88,Springer,Cham,2019
344,2 ,13,,81-88,Springer,Cham,2019
345,,,,37-50,Springer,Cham,2019
346,340 ,1,,73-89,Springer,Cham,2019
347,,,,197-208,Springer,Cham,2019
348,2 ,6,,22-31,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
349,2 ,35,,193-203,Springer,Cham,2019
350,,,,180002-1,Springer,Cham,2019
351,,,,191-207,Springer,Cham,2019
352,,,,200-223,Springer,Cham,2019
353,1 ,18,,61-72,Publishing House of the University of Economics in Katowice,Katowice,2019
354,,,,53-67,Publishing House of the University of Economics in Katowice,Katowice,2019
355,,,,10869-10879,Publishing House of the University of Economics in Katowice,Katowice,2019
356,,,,12816-12822,Publishing House of the University of Economics in Katowice,Katowice,2019
357,,122,,218-230,Publishing House of the University of Economics in Katowice,Katowice,2019
358,,,,155-169,Publishing House of the University of Economics in Katowice,Katowice,2019
359,,,,139-152,Wydawnictwo Poltext,Warszawa,2019
360,,,,411-428,University of Hawai'i at Manoa,Manoa,2019
361,,,,117-124,University of Hawai'i at Manoa,Manoa,2019
362,,,,,CeDeWu,Warszawa,2019
363,,,,,Wydawnictwo SGGW,Warszawa,2019
364,3 ,11,,,Wydawnictwo AMPoligrafia,Katowice,2019
